id,flavor_name,category,ingredients,sugar_g_per_serving,fat_g_per_serving,calories_per_serving,allergens,health_risk,description
17,Mango Fusion,Candy,"vanilla extract, honey, fruit puree, roasted nuts, milk",26,18,189,Peanuts,Nut allergens may cause allergic reactions,A delicious mango fusion ice cream with rich taste and smooth creamy texture.
18,Cardamom Blast,Exotic,"roasted nuts, salt, milk, brown sugar, butter, cream, cocoa powder, wafer pieces",34,16,269,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious cardamom blast ice cream with rich taste and smooth creamy texture.
19,Almond Cream,Premium,"wafer pieces, food coloring, honey, corn syrup, butter, brown sugar, roasted nuts",17,16,210,Milk,Nut allergens may cause allergic reactions,A delicious almond cream ice cream with rich taste and smooth creamy texture.
20,Strawberry Swirl,Candy,"brown sugar, salt, food coloring, chocolate chips, cookie crumbs, fruit puree, wafer pieces",32,5,294,Nuts,Artificial colors may cause mild sensitivity,A delicious strawberry swirl ice cream with rich taste and smooth creamy texture.
21,Red Velvet Swirl,Premium,"butter, fruit puree, condensed milk, sugar, brown sugar",25,20,325,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious red velvet swirl ice cream with rich taste and smooth creamy texture.
22,Salted Caramel Blast,Healthy,"roasted nuts, wafer pieces, chocolate chips, condensed milk, food coloring, cookie crumbs",16,16,241,Peanuts,High fat content may contribute to obesity,A delicious salted caramel blast ice cream with rich taste and smooth creamy texture.
23,Dragon Fruit Fusion,Premium,"sugar, corn syrup, fruit puree, butter, vanilla extract",20,14,221,Gluten,Nut allergens may cause allergic reactions,A delicious dragon fruit fusion ice cream with rich taste and smooth creamy texture.
24,Mango Cream,Nut,"caramel syrup, butter, salt, fruit puree, food coloring, cream, chocolate chips",15,16,284,None,Nut allergens may cause allergic reactions,A delicious mango cream ice cream with rich taste and smooth creamy texture.
25,Hazelnut Dream,Premium,"cookie crumbs, honey, butter, chocolate chips, cream",25,20,271,None,High sugar intake may increase risk of diabetes,A delicious hazelnut dream ice cream with rich taste and smooth creamy texture.
26,Papaya Dream,Premium,"sugar, cookie crumbs, cream, milk, food coloring, fruit puree, chocolate chips, butter",17,11,246,Peanuts,High sugar intake may increase risk of diabetes,A delicious papaya dream ice cream with rich taste and smooth creamy texture.
27,Brownie Dream,Healthy,"salt, sugar, cookie crumbs, roasted nuts, fruit puree, caramel syrup, corn syrup, honey",33,15,268,Gluten,High calorie dessert – consume moderately,A delicious brownie dream ice cream with rich taste and smooth creamy texture.
28,Red Velvet Cream,Nut,"corn syrup, food coloring, roasted nuts, caramel syrup, vanilla extract, milk, wafer pieces",27,5,227,None,Nut allergens may cause allergic reactions,A delicious red velvet cream ice cream with rich taste and smooth creamy texture.
29,Hazelnut Cream,Chocolate,"butter, cookie crumbs, cocoa powder, chocolate chips, cream, corn syrup, roasted nuts, food coloring",19,18,315,None,High fat content may contribute to obesity,A delicious hazelnut cream ice cream with rich taste and smooth creamy texture.
30,Butterscotch Dream,Premium,"cream, chocolate chips, brown sugar, natural flavor, sugar, butter, fruit puree, wafer pieces",19,13,256,None,Artificial colors may cause mild sensitivity,A delicious butterscotch dream ice cream with rich taste and smooth creamy texture.
31,Lemon Swirl,Exotic,"sugar, natural flavor, fruit puree, condensed milk, milk",22,13,216,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious lemon swirl ice cream with rich taste and smooth creamy texture.
32,Walnut Fusion,Healthy,"salt, brown sugar, honey, milk, roasted nuts, caramel syrup, chocolate chips, natural flavor",15,18,345,Milk,High sugar intake may increase risk of diabetes,A delicious walnut fusion ice cream with rich taste and smooth creamy texture.
33,Orange Swirl,Candy,"milk, chocolate chips, vanilla extract, brown sugar, food coloring, condensed milk",19,20,323,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious orange swirl ice cream with rich taste and smooth creamy texture.
34,Blackberry Fusion,Chocolate,"salt, roasted nuts, fruit puree, milk, vanilla extract",20,5,256,Soy,High calorie dessert – consume moderately,A delicious blackberry fusion ice cream with rich taste and smooth creamy texture.
35,Red Velvet Dream,Exotic,"natural flavor, chocolate chips, cream, wafer pieces, milk, corn syrup",27,7,350,Soy,High calorie dessert – consume moderately,A delicious red velvet dream ice cream with rich taste and smooth creamy texture.
36,Raspberry Dream,Candy,"cream, chocolate chips, cookie crumbs, vanilla extract, food coloring",32,13,281,Milk,High sugar intake may increase risk of diabetes,A delicious raspberry dream ice cream with rich taste and smooth creamy texture.
37,Mocha Swirl,Healthy,"salt, chocolate chips, honey, condensed milk, butter",29,11,280,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious mocha swirl ice cream with rich taste and smooth creamy texture.
38,Marshmallow Delight,Candy,"honey, fruit puree, cocoa powder, condensed milk, chocolate chips, butter",32,8,255,Soy,High fat content may contribute to obesity,A delicious marshmallow delight ice cream with rich taste and smooth creamy texture.
39,Almond Dream,Nut,"vanilla extract, sugar, chocolate chips, condensed milk, milk, salt",16,7,289,None,Artificial colors may cause mild sensitivity,A delicious almond dream ice cream with rich taste and smooth creamy texture.
40,Coffee Fusion,Fruit,"sugar, corn syrup, natural flavor, salt, butter, vanilla extract, brown sugar",34,7,333,Soy,Nut allergens may cause allergic reactions,A delicious coffee fusion ice cream with rich taste and smooth creamy texture.
41,Dark Chocolate Dream,Classic,"butter, cookie crumbs, chocolate chips, salt, vanilla extract, fruit puree",21,16,323,Peanuts,High sugar intake may increase risk of diabetes,A delicious dark chocolate dream ice cream with rich taste and smooth creamy texture.
42,Blackberry Delight,Fruit,"fruit puree, salt, butter, cookie crumbs, caramel syrup, chocolate chips, honey",16,16,324,Soy,High sugar intake may increase risk of diabetes,A delicious blackberry delight ice cream with rich taste and smooth creamy texture.
43,Mint Fusion,Chocolate,"milk, vanilla extract, caramel syrup, cocoa powder, food coloring",19,8,311,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious mint fusion ice cream with rich taste and smooth creamy texture.
44,Raspberry Dream,Chocolate,"corn syrup, cocoa powder, food coloring, honey, fruit puree, roasted nuts",29,15,323,Gluten,High calorie dessert – consume moderately,A delicious raspberry dream ice cream with rich taste and smooth creamy texture.
45,Hazelnut Blast,Healthy,"fruit puree, salt, honey, natural flavor, milk, caramel syrup, vanilla extract, cream",31,17,317,None,Artificial colors may cause mild sensitivity,A delicious hazelnut blast ice cream with rich taste and smooth creamy texture.
46,Banana Fusion,Fruit,"corn syrup, butter, caramel syrup, vanilla extract, cocoa powder, honey",15,20,319,Milk,High fat content may contribute to obesity,A delicious banana fusion ice cream with rich taste and smooth creamy texture.
47,Oreo Cream,Candy,"milk, caramel syrup, cookie crumbs, chocolate chips, fruit puree, butter, brown sugar, natural flavor",24,17,313,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious oreo cream ice cream with rich taste and smooth creamy texture.
48,Mango Cream,Exotic,"sugar, cocoa powder, brown sugar, milk, honey, vanilla extract",34,14,345,None,High fat content may contribute to obesity,A delicious mango cream ice cream with rich taste and smooth creamy texture.
49,Dragon Fruit Blast,Fruit,"cream, brown sugar, vanilla extract, fruit puree, food coloring",18,11,253,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious dragon fruit blast ice cream with rich taste and smooth creamy texture.
50,Passion Fruit Cream,Nut,"vanilla extract, milk, cookie crumbs, honey, roasted nuts, salt, butter, corn syrup",34,11,186,Peanuts,High sugar intake may increase risk of diabetes,A delicious passion fruit cream ice cream with rich taste and smooth creamy texture.
51,Coconut Blast,Exotic,"butter, condensed milk, cookie crumbs, corn syrup, food coloring, wafer pieces, brown sugar",21,9,281,Nuts,High fat content may contribute to obesity,A delicious coconut blast ice cream with rich taste and smooth creamy texture.
52,Strawberry Blast,Premium,"wafer pieces, condensed milk, cookie crumbs, roasted nuts, brown sugar, cocoa powder, natural flavor, caramel syrup",20,14,328,Soy,Artificial colors may cause mild sensitivity,A delicious strawberry blast ice cream with rich taste and smooth creamy texture.
53,Mocha Swirl,Candy,"food coloring, chocolate chips, roasted nuts, honey, vanilla extract",35,19,269,None,Contains dairy which may affect lactose intolerant individuals,A delicious mocha swirl ice cream with rich taste and smooth creamy texture.
54,Walnut Cream,Candy,"vanilla extract, cocoa powder, condensed milk, roasted nuts, milk",28,15,254,Peanuts,High sugar intake may increase risk of diabetes,A delicious walnut cream ice cream with rich taste and smooth creamy texture.
55,Dragon Fruit Blast,Candy,"wafer pieces, butter, chocolate chips, condensed milk, cream, natural flavor, roasted nuts, honey",27,8,308,Nuts,High calorie dessert – consume moderately,A delicious dragon fruit blast ice cream with rich taste and smooth creamy texture.
56,Vanilla Blast,Nut,"cocoa powder, fruit puree, food coloring, sugar, salt, cookie crumbs, vanilla extract, brown sugar",19,14,311,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious vanilla blast ice cream with rich taste and smooth creamy texture.
57,Pistachio Swirl,Nut,"sugar, salt, cookie crumbs, brown sugar, vanilla extract, wafer pieces, milk, chocolate chips",23,20,332,Peanuts,Nut allergens may cause allergic reactions,A delicious pistachio swirl ice cream with rich taste and smooth creamy texture.
58,Cotton Candy Cream,Candy,"cocoa powder, caramel syrup, fruit puree, milk, wafer pieces, chocolate chips",26,5,265,None,High calorie dessert – consume moderately,A delicious cotton candy cream ice cream with rich taste and smooth creamy texture.
59,Banana Swirl,Classic,"brown sugar, vanilla extract, chocolate chips, caramel syrup, cocoa powder",27,18,223,Nuts,High calorie dessert – consume moderately,A delicious banana swirl ice cream with rich taste and smooth creamy texture.
60,Orange Blast,Nut,"natural flavor, honey, salt, fruit puree, wafer pieces",31,11,241,Milk,High fat content may contribute to obesity,A delicious orange blast ice cream with rich taste and smooth creamy texture.
61,Chocolate Swirl,Fruit,"roasted nuts, cookie crumbs, sugar, butter, cream, cocoa powder",34,7,204,Soy,High calorie dessert – consume moderately,A delicious chocolate swirl ice cream with rich taste and smooth creamy texture.
62,Cookies & Cream Swirl,Exotic,"fruit puree, cocoa powder, milk, caramel syrup, honey, vanilla extract",24,9,193,Milk,Artificial colors may cause mild sensitivity,A delicious cookies & cream swirl ice cream with rich taste and smooth creamy texture.
63,Matcha Cream,Classic,"food coloring, natural flavor, salt, chocolate chips, sugar, corn syrup",23,14,266,Soy,Nut allergens may cause allergic reactions,A delicious matcha cream ice cream with rich taste and smooth creamy texture.
64,Kitkat Dream,Candy,"fruit puree, cookie crumbs, caramel syrup, salt, food coloring, natural flavor, cream, milk",28,11,253,None,Artificial colors may cause mild sensitivity,A delicious kitkat dream ice cream with rich taste and smooth creamy texture.
65,Kitkat Delight,Chocolate,"natural flavor, brown sugar, condensed milk, cocoa powder, butter, honey, food coloring, cookie crumbs",28,5,273,Gluten,High sugar intake may increase risk of diabetes,A delicious kitkat delight ice cream with rich taste and smooth creamy texture.
66,Passion Fruit Fusion,Nut,"vanilla extract, salt, condensed milk, sugar, chocolate chips, cookie crumbs",24,13,312,Gluten,Nut allergens may cause allergic reactions,A delicious passion fruit fusion ice cream with rich taste and smooth creamy texture.
67,White Chocolate Delight,Exotic,"brown sugar, fruit puree, roasted nuts, food coloring, salt",33,8,254,Nuts,High sugar intake may increase risk of diabetes,A delicious white chocolate delight ice cream with rich taste and smooth creamy texture.
68,Blueberry Delight,Premium,"sugar, milk, cocoa powder, cookie crumbs, vanilla extract, butter",28,20,232,Soy,High fat content may contribute to obesity,A delicious blueberry delight ice cream with rich taste and smooth creamy texture.
69,Oreo Blast,Classic,"cocoa powder, corn syrup, wafer pieces, brown sugar, salt, sugar, butter, honey",22,5,315,None,High calorie dessert – consume moderately,A delicious oreo blast ice cream with rich taste and smooth creamy texture.
70,Pineapple Fusion,Candy,"vanilla extract, cookie crumbs, honey, sugar, chocolate chips, butter, corn syrup",31,6,238,None,Artificial colors may cause mild sensitivity,A delicious pineapple fusion ice cream with rich taste and smooth creamy texture.
71,Tiramisu Cream,Classic,"brown sugar, fruit puree, vanilla extract, chocolate chips, cookie crumbs",27,6,241,Gluten,High calorie dessert – consume moderately,A delicious tiramisu cream ice cream with rich taste and smooth creamy texture.
72,Mango Cream,Healthy,"honey, food coloring, milk, caramel syrup, cocoa powder, chocolate chips",19,20,336,Soy,High fat content may contribute to obesity,A delicious mango cream ice cream with rich taste and smooth creamy texture.
73,Dragon Fruit Cream,Classic,"butter, chocolate chips, honey, corn syrup, cookie crumbs, roasted nuts",23,14,303,Milk,Artificial colors may cause mild sensitivity,A delicious dragon fruit cream ice cream with rich taste and smooth creamy texture.
74,Lavender Swirl,Healthy,"caramel syrup, cookie crumbs, brown sugar, cocoa powder, sugar, roasted nuts, salt",31,15,295,Milk,Contains dairy which may affect lactose intolerant individuals,A delicious lavender swirl ice cream with rich taste and smooth creamy texture.
75,Marshmallow Cream,Fruit,"chocolate chips, caramel syrup, butter, wafer pieces, salt, corn syrup",24,19,234,None,Nut allergens may cause allergic reactions,A delicious marshmallow cream ice cream with rich taste and smooth creamy texture.
76,Hazelnut Fusion,Candy,"fruit puree, corn syrup, sugar, chocolate chips, caramel syrup, brown sugar, food coloring",16,9,264,Gluten,High sugar intake may increase risk of diabetes,A delicious hazelnut fusion ice cream with rich taste and smooth creamy texture.
77,Banana Fusion,Nut,"wafer pieces, salt, sugar, condensed milk, milk",29,13,221,Peanuts,Artificial colors may cause mild sensitivity,A delicious banana fusion ice cream with rich taste and smooth creamy texture.
78,Coffee Swirl,Candy,"cookie crumbs, honey, milk, cocoa powder, vanilla extract, fruit puree, condensed milk",17,13,228,Gluten,High sugar intake may increase risk of diabetes,A delicious coffee swirl ice cream with rich taste and smooth creamy texture.
79,Cardamom Delight,Classic,"milk, sugar, salt, cookie crumbs, chocolate chips, corn syrup",32,8,180,Soy,High sugar intake may increase risk of diabetes,A delicious cardamom delight ice cream with rich taste and smooth creamy texture.
80,Salted Caramel Fusion,Fruit,"brown sugar, caramel syrup, roasted nuts, cookie crumbs, condensed milk",31,17,289,Nuts,High fat content may contribute to obesity,A delicious salted caramel fusion ice cream with rich taste and smooth creamy texture.
81,Hazelnut Dream,Premium,"natural flavor, vanilla extract, fruit puree, caramel syrup, cookie crumbs, milk",28,11,288,Milk,High sugar intake may increase risk of diabetes,A delicious hazelnut dream ice cream with rich taste and smooth creamy texture.
82,Mango Blast,Chocolate,"roasted nuts, cocoa powder, vanilla extract, corn syrup, salt, chocolate chips",20,12,315,Gluten,High sugar intake may increase risk of diabetes,A delicious mango blast ice cream with rich taste and smooth creamy texture.
83,Cherry Fusion,Classic,"brown sugar, honey, vanilla extract, sugar, fruit puree",23,19,272,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious cherry fusion ice cream with rich taste and smooth creamy texture.
84,Dragon Fruit Blast,Candy,"cocoa powder, condensed milk, vanilla extract, roasted nuts, cream, honey, caramel syrup, milk",23,9,330,Gluten,High sugar intake may increase risk of diabetes,A delicious dragon fruit blast ice cream with rich taste and smooth creamy texture.
85,Blueberry Fusion,Nut,"salt, corn syrup, caramel syrup, fruit puree, roasted nuts, butter",26,6,259,Peanuts,High calorie dessert – consume moderately,A delicious blueberry fusion ice cream with rich taste and smooth creamy texture.
86,Mocha Delight,Nut,"sugar, wafer pieces, caramel syrup, cream, milk, cookie crumbs, chocolate chips",19,7,345,None,High fat content may contribute to obesity,A delicious mocha delight ice cream with rich taste and smooth creamy texture.
87,Strawberry Cream,Fruit,"condensed milk, salt, chocolate chips, brown sugar, cocoa powder, milk",33,15,330,Soy,High calorie dessert – consume moderately,A delicious strawberry cream ice cream with rich taste and smooth creamy texture.
88,Pistachio Delight,Classic,"condensed milk, cookie crumbs, vanilla extract, cream, butter, corn syrup",27,13,285,Peanuts,High sugar intake may increase risk of diabetes,A delicious pistachio delight ice cream with rich taste and smooth creamy texture.
89,Raspberry Dream,Fruit,"brown sugar, milk, butter, wafer pieces, roasted nuts, honey, cocoa powder, cream",25,9,219,Milk,High fat content may contribute to obesity,A delicious raspberry dream ice cream with rich taste and smooth creamy texture.
90,Tiramisu Fusion,Exotic,"condensed milk, salt, milk, corn syrup, brown sugar, natural flavor, roasted nuts",20,16,326,Peanuts,High sugar intake may increase risk of diabetes,A delicious tiramisu fusion ice cream with rich taste and smooth creamy texture.
91,Salted Caramel Delight,Fruit,"natural flavor, chocolate chips, wafer pieces, food coloring, cocoa powder, fruit puree, corn syrup",28,8,306,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious salted caramel delight ice cream with rich taste and smooth creamy texture.
92,Almond Delight,Classic,"vanilla extract, caramel syrup, milk, food coloring, corn syrup, condensed milk, sugar",18,16,334,Peanuts,Artificial colors may cause mild sensitivity,A delicious almond delight ice cream with rich taste and smooth creamy texture.
93,Coffee Swirl,Premium,"honey, cream, milk, corn syrup, condensed milk, food coloring",21,16,191,None,High sugar intake may increase risk of diabetes,A delicious coffee swirl ice cream with rich taste and smooth creamy texture.
94,Pineapple Blast,Nut,"cocoa powder, salt, condensed milk, fruit puree, caramel syrup, natural flavor, cookie crumbs",18,15,214,Peanuts,High calorie dessert – consume moderately,A delicious pineapple blast ice cream with rich taste and smooth creamy texture.
95,Oreo Fusion,Healthy,"cookie crumbs, natural flavor, honey, corn syrup, salt, cocoa powder",34,8,280,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious oreo fusion ice cream with rich taste and smooth creamy texture.
96,Brownie Delight,Fruit,"fruit puree, natural flavor, food coloring, corn syrup, wafer pieces, caramel syrup, condensed milk",32,18,255,Nuts,Nut allergens may cause allergic reactions,A delicious brownie delight ice cream with rich taste and smooth creamy texture.
97,Rose Cream,Healthy,"food coloring, roasted nuts, cocoa powder, corn syrup, condensed milk, wafer pieces, natural flavor, chocolate chips",32,7,322,Nuts,Nut allergens may cause allergic reactions,A delicious rose cream ice cream with rich taste and smooth creamy texture.
98,Mocha Delight,Nut,"food coloring, natural flavor, salt, cream, cookie crumbs",30,13,349,Nuts,High fat content may contribute to obesity,A delicious mocha delight ice cream with rich taste and smooth creamy texture.
99,Saffron Blast,Fruit,"natural flavor, wafer pieces, cocoa powder, butter, condensed milk",26,9,324,Soy,High sugar intake may increase risk of diabetes,A delicious saffron blast ice cream with rich taste and smooth creamy texture.
100,Peanut Butter Dream,Candy,"roasted nuts, milk, corn syrup, natural flavor, fruit puree, vanilla extract",29,5,287,Soy,High fat content may contribute to obesity,A delicious peanut butter dream ice cream with rich taste and smooth creamy texture.
101,Peanut Butter Swirl,Fruit,"corn syrup, sugar, honey, brown sugar, chocolate chips, butter, milk",35,7,301,Peanuts,High fat content may contribute to obesity,A delicious peanut butter swirl ice cream with rich taste and smooth creamy texture.
102,Pistachio Fusion,Candy,"butter, sugar, natural flavor, cookie crumbs, roasted nuts, corn syrup",25,13,247,Soy,High sugar intake may increase risk of diabetes,A delicious pistachio fusion ice cream with rich taste and smooth creamy texture.
103,Dragon Fruit Delight,Candy,"caramel syrup, natural flavor, chocolate chips, sugar, brown sugar",31,12,282,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious dragon fruit delight ice cream with rich taste and smooth creamy texture.
104,Honey Dream,Exotic,"brown sugar, food coloring, wafer pieces, cream, cocoa powder, vanilla extract",23,13,195,Milk,Contains dairy which may affect lactose intolerant individuals,A delicious honey dream ice cream with rich taste and smooth creamy texture.
105,Passion Fruit Swirl,Nut,"salt, vanilla extract, honey, condensed milk, butter, food coloring",18,12,216,Nuts,Nut allergens may cause allergic reactions,A delicious passion fruit swirl ice cream with rich taste and smooth creamy texture.
106,Pistachio Delight,Nut,"cookie crumbs, butter, chocolate chips, vanilla extract, condensed milk, salt",20,8,238,Gluten,High fat content may contribute to obesity,A delicious pistachio delight ice cream with rich taste and smooth creamy texture.
107,Butterscotch Fusion,Nut,"food coloring, butter, wafer pieces, salt, honey, roasted nuts",23,11,349,Soy,High calorie dessert – consume moderately,A delicious butterscotch fusion ice cream with rich taste and smooth creamy texture.
108,Pistachio Fusion,Premium,"butter, natural flavor, milk, chocolate chips, brown sugar, cookie crumbs",21,11,266,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious pistachio fusion ice cream with rich taste and smooth creamy texture.
109,Walnut Cream,Exotic,"food coloring, natural flavor, butter, salt, wafer pieces, sugar, cocoa powder",35,7,339,Soy,High calorie dessert – consume moderately,A delicious walnut cream ice cream with rich taste and smooth creamy texture.
110,Hazelnut Cream,Fruit,"vanilla extract, butter, food coloring, cocoa powder, salt, fruit puree, honey, sugar",17,6,277,None,Nut allergens may cause allergic reactions,A delicious hazelnut cream ice cream with rich taste and smooth creamy texture.
111,Kitkat Cream,Fruit,"fruit puree, cream, roasted nuts, sugar, salt, cookie crumbs",34,5,306,Nuts,High calorie dessert – consume moderately,A delicious kitkat cream ice cream with rich taste and smooth creamy texture.
112,Peanut Butter Cream,Candy,"roasted nuts, milk, cookie crumbs, honey, brown sugar, corn syrup, fruit puree, wafer pieces",16,10,281,Peanuts,High fat content may contribute to obesity,A delicious peanut butter cream ice cream with rich taste and smooth creamy texture.
113,Caramel Dream,Healthy,"condensed milk, corn syrup, butter, milk, roasted nuts, cream, honey, brown sugar",17,8,335,Peanuts,High calorie dessert – consume moderately,A delicious caramel dream ice cream with rich taste and smooth creamy texture.
114,Banana Swirl,Nut,"cream, corn syrup, natural flavor, salt, food coloring, caramel syrup, honey, cocoa powder",22,11,307,Nuts,High calorie dessert – consume moderately,A delicious banana swirl ice cream with rich taste and smooth creamy texture.
115,Chocolate Cream,Premium,"cream, milk, caramel syrup, brown sugar, roasted nuts, wafer pieces",19,14,205,Soy,High calorie dessert – consume moderately,A delicious chocolate cream ice cream with rich taste and smooth creamy texture.
116,Rose Fusion,Healthy,"caramel syrup, sugar, wafer pieces, salt, chocolate chips",17,7,327,None,Contains dairy which may affect lactose intolerant individuals,A delicious rose fusion ice cream with rich taste and smooth creamy texture.
117,Passion Fruit Swirl,Classic,"brown sugar, honey, fruit puree, cookie crumbs, food coloring",28,7,238,Nuts,High sugar intake may increase risk of diabetes,A delicious passion fruit swirl ice cream with rich taste and smooth creamy texture.
118,Lavender Cream,Exotic,"condensed milk, milk, butter, salt, cocoa powder",29,11,255,Nuts,Artificial colors may cause mild sensitivity,A delicious lavender cream ice cream with rich taste and smooth creamy texture.
119,Chocolate Dream,Candy,"roasted nuts, wafer pieces, natural flavor, salt, sugar, condensed milk",32,9,344,Milk,Nut allergens may cause allergic reactions,A delicious chocolate dream ice cream with rich taste and smooth creamy texture.
120,Cotton Candy Swirl,Candy,"corn syrup, chocolate chips, fruit puree, caramel syrup, food coloring, wafer pieces, brown sugar, natural flavor",22,15,263,Milk,High sugar intake may increase risk of diabetes,A delicious cotton candy swirl ice cream with rich taste and smooth creamy texture.
121,Passion Fruit Dream,Candy,"fruit puree, cocoa powder, corn syrup, food coloring, sugar",23,6,254,Gluten,Artificial colors may cause mild sensitivity,A delicious passion fruit dream ice cream with rich taste and smooth creamy texture.
122,Coconut Delight,Classic,"wafer pieces, condensed milk, corn syrup, caramel syrup, brown sugar",32,18,260,Soy,High calorie dessert – consume moderately,A delicious coconut delight ice cream with rich taste and smooth creamy texture.
123,Guava Blast,Nut,"cream, wafer pieces, fruit puree, condensed milk, sugar",15,14,210,Nuts,High fat content may contribute to obesity,A delicious guava blast ice cream with rich taste and smooth creamy texture.
124,Mint Fusion,Candy,"cookie crumbs, cocoa powder, wafer pieces, brown sugar, food coloring, salt, cream, natural flavor",27,12,225,Milk,High fat content may contribute to obesity,A delicious mint fusion ice cream with rich taste and smooth creamy texture.
125,Chocolate Blast,Chocolate,"cookie crumbs, corn syrup, brown sugar, wafer pieces, sugar, condensed milk",17,20,349,Nuts,Nut allergens may cause allergic reactions,A delicious chocolate blast ice cream with rich taste and smooth creamy texture.
126,Cardamom Swirl,Candy,"fruit puree, cream, honey, food coloring, roasted nuts, condensed milk, wafer pieces",29,19,273,Gluten,High calorie dessert – consume moderately,A delicious cardamom swirl ice cream with rich taste and smooth creamy texture.
127,Orange Blast,Fruit,"condensed milk, roasted nuts, salt, butter, cream, sugar, natural flavor, vanilla extract",26,12,228,None,High fat content may contribute to obesity,A delicious orange blast ice cream with rich taste and smooth creamy texture.
128,Butterscotch Delight,Premium,"sugar, butter, natural flavor, condensed milk, salt, wafer pieces, food coloring, cream",17,12,290,Soy,Artificial colors may cause mild sensitivity,A delicious butterscotch delight ice cream with rich taste and smooth creamy texture.
